"initial_alias","converted_alias","name","description","namespace"
"YNL189W","Q02821","SRP1","Karyopherin alpha homolog; forms a dimer with karyopherin beta Kap95p to mediate import of nuclear proteins, binds the nuclear localization signal of the substrate during import; involved in cotranslational protein degradation; binds ribosome-bound nascent polypeptides; Srp1p and Sts1p couple proteasomes to nascent polypeptides emerging from the ribosome for cotranslational degradation [Source:SGD;Acc:S000005133]","ENSG,ENSP"
"YNL230C","P53861","ELA1","Elongin A; F-box protein that forms a heterodimer with Elc1p and is required for ubiquitin-dependent degradation of the RNA Polymerase II subunit Rpo21p; subunit of the Elongin-Cullin-Socs (ECS) ligase complex [Source:SGD;Acc:S000005174]","ENSG,ENSP"
"YML113W","P13483","DAT1","DNA binding protein that recognizes oligo(dA).oligo(dT) tracts; Arg side chain in its N-terminal pentad Gly-Arg-Lys-Pro-Gly repeat is required for DNA-binding; relocalizes to the cytosol in response to hypoxia; not essential for viability [Source:SGD;Acc:S000004581]","ENSG,ENSP"
"YJL125C","P46959","GCD14","Subunit of tRNA (1-methyladenosine) methyltransferase; required, along with Gcd10p, for the modification of the adenine at position 58 in tRNAs, especially tRNAi-Met; first identified as a negative regulator of GCN4 expression [Source:SGD;Acc:S000003661]","ENSG,ENSP"
"YJL184W","P46984","GON7","Component of the EKC/KEOPS protein complex; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription; implicated in osmotic stress response; other complex members are Kae1p, Cgi121p, Pcc1p, and Bud32p [Source:SGD;Acc:S000003720]","ENSG,ENSP"
"YKR095W-A","Q3E833","PCC1","Component of the EKC/KEOPS protein complex; EKC/KEOPS complex is required for t6A tRNA modification and telomeric TG1-3 recombination; may have role in transcription; other complex members are Kae1p, Gon7p, Bud32p, and Cgi121p [Source:SGD;Acc:S000028512]","ENSG,ENSP"
"YLR146C","Q12455","SPE4","Spermine synthase; required for the biosynthesis of spermine and also involved in biosynthesis of pantothenic acid [Source:SGD;Acc:S000004136]","ENSG,ENSP"
"YKR089C","P36165","TGL4","Multifunctional lipase/hydrolase/phospholipase; triacylglycerol lipase, steryl ester hydrolase, and Ca2+-independent phospholipase A2; catalyzes acyl-CoA dependent acylation of LPA to PA; required with Tgl3p for timely bud formation; phosphorylated and activated by Cdc28p; TGL4 has a paralog, TGL5, that arose from the whole genome duplication [Source:SGD;Acc:S000001797]","ENSG,ENSP"
"Q0255","P03881","Q0255","Maturase-like protein [Source:SGD;Acc:S000007282]","ENSG,ENSP,ENTREZGENE,SGD_GENE"
"YJR033C","P47104","RAV1","Subunit of RAVE complex (Rav1p, Rav2p, Skp1p); the RAVE complex promotes assembly of the V-ATPase holoenzyme; required for transport between the early and late endosome/PVC and for localization of TGN membrane proteins; potential Cdc28p substrate [Source:SGD;Acc:S000003794]","ENSG,ENSP"
"YLR002C","Q07896","NOC3","Subunit of a nuclear complex with Noc2p and pre-replicative complexes; the Noc2p-Noc3p complex binds to 66S ribosomal precursors to mediate their maturation and intranuclear transport; binds to chromatin at active replication origins, and is required for pre-RC formation and maintenance during DNA replication licensing [Source:SGD;Acc:S000003992]","ENSG,ENSP"
"YER042W","P40029","MXR1","Methionine-S-sulfoxide reductase; involved in the response to oxidative stress; protects iron-sulfur clusters from oxidative inactivation along with MXR2; involved in the regulation of lifespan; reduced activity of human homolog implicated in Alzheimer disease [Source:SGD;Acc:S000000844]","ENSG,ENSP"
"YOR332W","P22203","VMA4","Subunit E of the V1 domain of the vacuolar H+-ATPase (V-ATPase); V-ATPase is an electrogenic proton pump found throughout the endomembrane system; V1 domain has eight subunits; required for the V1 domain to assemble onto the vacuolar membrane; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005859]","ENSG,ENSP"
"YDL174C","P32891","DLD1","Major mitochondrial D-lactate dehydrogenase; oxidizes D-lactate to pyruvate, transcription is heme-dependent, repressed by glucose, and derepressed in ethanol or lactate; located in the mitochondrial inner membrane [Source:SGD;Acc:S000002333]","ENSG,ENSP"
"YNL270C","P38971","ALP1","Arginine transporter; expression is normally very low and it is unclear what conditions would induce significant expression; ALP1 has a paralog, CAN1, that arose from the whole genome duplication [Source:SGD;Acc:S000005214]","ENSG,ENSP"
"YER124C","P40077","DSE1","Daughter cell-specific protein; may regulate cross-talk between the mating and filamentation pathways; deletion affects cell separation after division and sensitivity to alpha-factor and drugs affecting the cell wall; relocalizes from bud neck to cytoplasm upon DNA replication stress [Source:SGD;Acc:S000000926]","ENSG,ENSP"
"YDR357C","Q06333","CNL1","Subunit of the BLOC-1 complex involved in endosomal maturation; interacts with Msb3p; null mutant is sensitive to drug inducing secretion of vacuolar cargo; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm [Source:SGD;Acc:S000002765]","ENSG,ENSP"
"YER169W","P39956","RPH1","JmjC domain-containing histone demethylase; targets tri- and dimethylated H3K36; associates with actively transcribed regions and promotes elongation; repressor of autophagy-related genes in nutrient-replete conditions; damage-responsive repressor of PHR1; phosphorylated by the Rad53p-dependent DNA damage checkpoint pathway and by a Rim1p-mediated event during starvation; target of stress-induced hormesis; RPH1 has a paralog, GIS1, that arose from the whole genome duplication [Source:SGD;Acc:S000000971]","ENSG,ENSP"
"YDR208W","P38994","MSS4","Phosphatidylinositol-4-phosphate 5-kinase; involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation [Source:SGD;Acc:S000002616]","ENSG,ENSP"
"YDR060W","Q12176","MAK21","Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein [Source:SGD;Acc:S000002467]","ENSG,ENSP"
"YPL147W","P41909","PXA1","Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa2p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transporters ABCD1and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant [Source:SGD;Acc:S000006068]","ENSG,ENSP"
"YGR091W","P49704","PRP31","Splicing factor; component of the U4/U6-U5 snRNP complex [Source:SGD;Acc:S000003323]","ENSG,ENSP"
"YIL159W","P40450","BNR1","Formin; nucleates the formation of linear actin filaments; involved in processes such as budding and mitotic spindle orientation which require the formation of polarized actin cables; activity is regulated by Hof1p and by the Bud14p-Kel1p-Kel2p complex; dephosphorylated and delocalized from the division site in a Glc7p/Ref2p-dependent manner; functionally redundant with BNI1 [Source:SGD;Acc:S000001421]","ENSG,ENSP"
"YJL168C","P46995","SET2","Histone methyltransferase with a role in transcriptional elongation; methylates H3 lysine 36 (H3K36), which suppresses incorporation of acetylated histones and signals for the deacetylation of these histones within transcribed genes; associates with the C-terminal domain(CTD) of Rpo21p; H3K36me3 (trimethylation) requires Spt6p, proline 38 on H3, CTD of Rpo21p, Ctk1p, and C-terminal SRI domain of Ste2p; relocalizes to the cytosol in response to hypoxia [Source:SGD;Acc:S000003704]","ENSG,ENSP"
"YOR167C","Q3E7X9","RPS28A","Protein component of the small (40S) ribosomal subunit; has an extraribosomal function in regulation of RPS28B, in which Rps28Ap binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; homologous to mammalian ribosomal protein S28, no bacterial homolog; RPS28A has a paralog, RPS28B, that arose from the whole genome duplication [Source:SGD;Acc:S000005693]","ENSG,ENSP"
"YNL074C","P32047","MLF3","Serine-rich protein of unknown function; predicted to be palmitoylated; overproduction suppresses growth inhibition caused by exposure to immunosuppressant leflunomide; MLF3 has a paralog, VHS2, that arose from the whole genome duplication [Source:SGD;Acc:S000005018]","ENSG,ENSP"
"YCL024W","P25389","KCC4","Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog, GIN4, that arose from the whole genome duplication [Source:SGD;Acc:S000000529]","ENSG,ENSP"
"YLL006W-A","Q3E814","YLL006W-A","Putative protein of unknown function; identified by fungal homology and RT-PCR [Source:SGD;Acc:S000028560]","ENSG,ENSP"
"YDR461C-A","Q2V2P7","YDR461C-A","Putative protein of unknown function [Source:SGD;Acc:S000087209]","ENSG,ENSP"
"YMR012W","Q03690","CLU1","Subunit of the eukaryotic translation initiation factor 3 (eIF3); component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation; can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant; eIF3 is also involved in programmed stop codon readthrough [Source:SGD;Acc:S000004614]","ENSG,ENSP"
"YBR172C","P32909","SMY2","GYF domain protein; involved in COPII vesicle formation; interacts with the Sec23p/Sec24p subcomplex; overexpression suppresses the temperature sensitivity of a myo2 mutant; similar to S. pombe Mpd2; SMY2 has a paralog, SYH1, that arose from the whole genome duplication [Source:SGD;Acc:S000000376]","ENSG,ENSP"
"YLR264W","P0C0X0","RPS28B","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S28, no bacterial homolog; has an extraribosomal function in autoregulation, in which Rps28Bp binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; RPS28B has a paralog, RPS28A, that arose from the whole genome duplication [Source:SGD;Acc:S000004254]","ENSG,ENSP"
"YLR403W","P32432","SFP1","Regulates transcription of ribosomal protein and biogenesis genes; regulates response to nutrients and stress, G2/M transitions during mitotic cell cycle and DNA-damage response, and modulates cell size; regulated by TORC1 and Mrs6p; sequence of zinc finger, ChIP localization data, and protein-binding microarray (PBM) data, and computational analyses suggest it binds DNA directly at highly active RP genes and indirectly through Rap1p at others; can form the [ISP+] prion [Source:SGD;Acc:S000004395]","ENSG,ENSP"
"YDL065C","Q07418","PEX19","Chaperone and import receptor for newly-synthesized class I PMPs; binds peroxisomal membrane proteins (PMPs) in the cytoplasm and delivers them to the peroxisome for subsequent insertion into the peroxisomal membrane; interacts with Myo2p and contributes to peroxisome partitioning [Source:SGD;Acc:S000002223]","ENSG,ENSP"
"YDR264C","P39010","AKR1","Palmitoyl transferase involved in protein palmitoylation; acts as a negative regulator of pheromone response pathway; required for endocytosis of pheromone receptors; involved in cell shape control; contains ankyrin repeats; AKR1 has a paralog, AKR2, that arose from the whole genome duplication; any of several human homologs encoding DHHC-type zinc fingers (ZDHHC) can complement temperature sensitivity of yeast akr1 null mutant [Source:SGD;Acc:S000002672]","ENSG,ENSP"
"YDR259C","Q03935","YAP6","Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog, CIN5, that arose from the whole genome duplication [Source:SGD;Acc:S000002667]","ENSG,ENSP"
"YLR409C","Q06078","UTP21","Subunit of U3-containing 90S preribosome and SSU processome complexes; involved in production of 18S rRNA and assembly of small ribosomal subunit; synthetic defect with STI1 Hsp90 cochaperone; human homolog linked to glaucoma; Small Subunit processome is also known as SSU processome [Source:SGD;Acc:S000004401]","ENSG,ENSP"
"YHR021C","P38711","RPS27B","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27B has a paralog, RPS27A, that arose from the whole genome duplication [Source:SGD;Acc:S000001063]","ENSG,ENSP"
"YOL077C","Q08235","BRX1","Nucleolar protein; constituent of 66S pre-ribosomal particles; depletion leads to defects in rRNA processing and a block in the assembly of large ribosomal subunits; possesses a sigma(70)-like RNA-binding motif [Source:SGD;Acc:S000005437]","ENSG,ENSP"
"YIL140W","P38928","AXL2","Integral plasma membrane protein; required for axial budding in haploid cells; localizes to the incipient bud site and bud neck; glycosylated by Pmt4p; potential Cdc28p substrate [Source:SGD;Acc:S000001402]","ENSG,ENSP"
"YGL208W","P34164","SIP2","One of three beta subunits of the Snf1 kinase complex; involved in the response to glucose starvation; null mutants exhibit accelerated aging; N-myristoylprotein localized to the cytoplasm and the plasma membrane; SIP2 has a paralog, GAL83, that arose from the whole genome duplication [Source:SGD;Acc:S000003176]","ENSG,ENSP"
"YJL090C","P47027","DPB11","DNA replication initiation protein; loads DNA pol epsilon onto pre-replication complexes at origins; checkpoint sensor recruited to stalled replication forks by the checkpoint clamp complex where it activates Mec1p; along with Rfa1p, binds to ultrafine anaphase bridges in mitotic cells and prevents accumulation of chromatin bridges by stimulating the Mec1p kinase and suppressing homologous recombination; ortholog of human TopBP1; forms nuclear foci upon DNA replication stress [Source:SGD;Acc:S000003626]","ENSG,ENSP"
"YJL104W","P42949","PAM16","Subunit of the import motor (PAM complex); the PAM complex is a component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); forms a 1:1 subcomplex with Pam18p and inhibits its cochaperone activity; contains a J-like domain [Source:SGD;Acc:S000003640]","ENSG,ENSP"
"YPL110C","Q02979","GDE1","Glycerophosphocholine (GroPCho) phosphodiesterase; hydrolyzes GroPCho to choline and glycerolphosphate, for use as a phosphate source and as a precursor for phosphocholine synthesis; may interact with ribosomes [Source:SGD;Acc:S000006031]","ENSG,ENSP"
"YPL078C","P05626","ATP4","Subunit b of the stator stalk of mitochondrial F1F0 ATP synthase; ATP synthase is a large, evolutionarily conserved enzyme complex required for ATP synthesis; contributes to the oligomerization of the complex, which in turn determines the shape of inner membrane cristae; phosphorylated [Source:SGD;Acc:S000005999]","ENSG,ENSP"
"YPL155C","P28743","KIP2","Kinesin-related motor protein involved in mitotic spindle positioning; stabilizes microtubules by targeting Bik1p to the plus end; functions as a microtubule polymerase and catastrophe inhibitor in vitro; Kip2p levels are controlled during the cell cycle [Source:SGD;Acc:S000006076]","ENSG,ENSP"
"YLR092W","Q12325","SUL2","High affinity sulfate permease; sulfate uptake is mediated by specific sulfate transporters Sul1p and Sul2p, which control the concentration of endogenous activated sulfate intermediates [Source:SGD;Acc:S000004082]","ENSG,ENSP"
"YLR179C","Q06252","YLR179C","Protein of unknown function with similarity to Tfs1p; transcription is activated by paralogous proteins Yrm1p and Yrr1p along with proteins involved in multidrug resistance; GFP-tagged protein localizes to the cytoplasm and nucleus [Source:SGD;Acc:S000004169]","ENSG,ENSP"
"YMR033W","Q05123","ARP9","Component of both the SWI/SNF and RSC chromatin remodeling complexes; actin-related protein involved in transcriptional regulation [Source:SGD;Acc:S000004636]","ENSG,ENSP"
"YOL020W","P38967","TAT2","High affinity tryptophan and tyrosine permease; overexpression confers FK506 and FTY720 resistance [Source:SGD;Acc:S000005380]","ENSG,ENSP"
"YBL091C","P38174","MAP2","Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p [Source:SGD;Acc:S000000187]","ENSG,ENSP"
"YMR178W","Q03219","YMR178W","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; YMR178W is not an essential gene; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000004790]","ENSG,ENSP"
"YBR248C","P33734","HIS7","Imidazole glycerol phosphate synthase; glutamine amidotransferase:cyclase that catalyzes the fifth step of histidine biosynthesis and also produces 5-aminoimidazole-4-carboxamide ribotide (AICAR), a purine precursor [Source:SGD;Acc:S000000452]","ENSG,ENSP"
"YKL156W","P35997","RPS27A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27A has a paralog, RPS27B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000001639]","ENSG,ENSP"
"YLR014C","P07272","PPR1","Zinc finger transcription factor; contains a Zn(2)-Cys(6) binuclear cluster domain, positively regulates transcription of URA1, URA3, URA4, and URA10, which are involved in de novo pyrimidine biosynthesis, in response to pyrimidine starvation; activity may be modulated by interaction with Tup1p [Source:SGD;Acc:S000004004]","ENSG,ENSP"
"YBR289W","P18480","SNF5","Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; functions interdependently in transcriptional activation with Snf2p and Snf6p; relocates to the cytosol under hypoxic conditions [Source:SGD;Acc:S000000493]","ENSG,ENSP"
"YPL111W","P00812","CAR1","Arginase, catabolizes arginine to ornithine and urea; expression responds to both induction by arginine and nitrogen catabolite repression; disruption decreases production of carcinogen ethyl carbamate during wine fermentation and also enhances freeze tolerance [Source:SGD;Acc:S000006032]","ENSG,ENSP"
"YLR454W","Q06179","FMP27","Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies [Source:SGD;Acc:S000004446]","ENSG,ENSP"
"YDL124W","Q07551","YDL124W","NADPH-dependent alpha-keto amide reductase; reduces aromatic alpha-keto amides, aliphatic alpha-keto esters, and aromatic alpha-keto esters; member of the aldo-keto reductase (AKR) family; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000002282]","ENSG,ENSP"
"YGR254W","P00924","ENO1","Enolase I, a phosphopyruvate hydratase; catalyzes conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression repressed in response to glucose; protein abundance increases in response to DNA replication stress; N-terminally propionylated in vivo; ENO1 has a paralog, ENO2, that arose from the whole genome duplication [Source:SGD;Acc:S000003486]","ENSG,ENSP"
"YPR154W","Q06449","PIN3","Negative regulator of actin nucleation-promoting factor activity; interacts with Las17p, a homolog of human Wiskott-Aldrich Syndrome protein (WASP), via an N-terminal SH3 domain, and along with LSB1 cooperatively inhibits the nucleation of actin filaments; short-lived protein whose levels increase in response to thermal stress; induces the formation of the [PIN+] and [RNQ+] prions when overproduced; PIN3 has a paralog, LSB1, that arose from the whole genome duplication [Source:SGD;Acc:S000006358]","ENSG,ENSP"
"YOR219C","P33894","STE13","Dipeptidyl aminopeptidase; Golgi integral membrane protein that cleaves on the carboxyl side of repeating -X-Ala- sequences, required for maturation of alpha factor, transcription is induced by a-factor [Source:SGD;Acc:S000005745]","ENSG,ENSP"
"YNL134C","P53912","YNL134C","NADH-dependent aldehyde reductase, involved in detoxification of furfural; expression is up-regulated in the presence of furfural and 5-hydroxymethylfurfural, which are compounds generated during lignocellulosic biomass pre-treatment; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000005078]","ENSG,ENSP"
"YHR128W","P18562","FUR1","Uracil phosphoribosyltransferase; synthesizes UMP from uracil; involved in the pyrimidine salvage pathway [Source:SGD;Acc:S000001170]","ENSG,ENSP"
"YGL113W","P53135","SLD3","Protein involved in the initiation of DNA replication; required for proper assembly of replication proteins at the origins of replication; interacts with Cdc45p; localizes to nuclear foci that become diffuse upon DNA replication stress; homologous to the human Treslin/Ticrr protein [Source:SGD;Acc:S000003081]","ENSG,ENSP"
"YGL150C","P53115","INO80","ATPase and nucleosome spacing factor; subunit of complex containing actin and actin-related proteins that has chromatin remodeling activity and 3' to 5' DNA helicase activity in vitro; promotes nucleosome shifts in the 3 prime direction; has a role in modulating stress gene transcription [Source:SGD;Acc:S000003118]","ENSG,ENSP"
